id,name,year,rating,rank,min_players,max_players,min_gameplay_time,max_gameplay_time,min_age,complexity_weight,category,mechanisms,type,BGG_link,store_names,store_prices,links_to_buy,availability,international_store
2109,Home Before the Leaves Fall: The Marne Campaign 1914,1997.0,6.8,6970.0,2.0,4.0,360.0,360.0,12.0,4.54,Wargame;World War I,Hex-and-Counter,,,,,,,
2110,Wacky Wigwam,1972.0,,,2.0,4.0,10.0,10.0,4.0,,Children's Game;Memory,Memory,,,,,,,
2111,Walk a Crooked Mile,1966.0,,,2.0,4.0,20.0,20.0,,,Children's Game,Roll / Spin and Move,,,,,,,
2112,Blindes Huhn,1997.0,5.3,10751.0,3.0,6.0,20.0,20.0,8.0,1.17,Card Game,Trick-taking,Animals: Chickens,,,,,,
2113,Walk Along Sesame Street,1975.0,6.4,,2.0,4.0,20.0,20.0,4.0,,Children's Game;Movies / TV / Radio theme,Roll / Spin and Move,TV Series: Sesame Street,,,,,,
2114,Explorium: A High Stakes Mining Extravaganza,2004.0,5.7,,2.0,6.0,120.0,120.0,12.0,2.5,Bluffing;Negotiation;Political,Auction/Bidding;Commodity Speculation;Dice Rolling;Trading,Mining,,,,,,
2115,Whirlpool Fishing,1953.0,5.5,,2.0,4.0,10.0,10.0,4.0,,Action / Dexterity;Animals;Children's Game,,Sports: Fishing / Angling,,,,,,
2116,Wild Webber,1992.0,4.7,,2.0,4.0,10.0,10.0,6.0,3.0,Action / Dexterity;Animals;Children's Game,,Animals: Spiders,,,,,,
2117,Wild Wooly,1994.0,5.5,,2.0,4.0,10.0,10.0,4.0,1.0,Action / Dexterity;Children's Game,,Monsters,,,,,,
2118,Home Improvement,1993.0,5.2,,2.0,6.0,90.0,90.0,12.0,2.0,Industry / Manufacturing;Movies / TV / Radio theme,Roll / Spin and Move;Set Collection,,,,,,,
2119,Mr. T Game,1983.0,4.6,,2.0,4.0,20.0,20.0,6.0,1.5,Children's Game;Movies / TV / Radio theme,Dice Rolling;Set Collection,,,,,,,
2120,The 70's Game,2002.0,6.6,,2.0,5.0,90.0,90.0,35.0,1.0,Trivia,Roll / Spin and Move,60's 70's 80's 90's;Decades: 70's,,,,,,
2121,Play On Words,2003.0,5.2,,2.0,4.0,45.0,45.0,8.0,1.0,Card Game;Word Game,Hand Management,,,,,,,
2122,Viele Dinge,2003.0,6.3,8750.0,2.0,8.0,20.0,20.0,3.0,1.0,Action / Dexterity;Card Game;Children's Game;Memory,Memory;Simultaneous Action Selection,,,,,,,
2123,Illuminati,1982.0,6.2,2038.0,2.0,6.0,60.0,120.0,12.0,2.5,Card Game;Novel-based;Political,,Illuminati,,,,,,
2124,Der Kleine Prinz,2003.0,5.7,,3.0,6.0,90.0,90.0,10.0,1.5,Children's Game;Educational;Memory;Novel-based;Party Game,Co-operative Play;Line Drawing;Memory;Paper-and-Pencil;Partnerships,Animals: Foxes;The Little Prince,,,,,,
2125,Miscellaneous Game Compilation,,5.4,,2.0,2.0,,,,1.43,Abstract Strategy;Children's Game;Party Game;Racing,Grid Movement;Roll / Spin and Move,Admin: Miscellaneous Placeholder;Animals: Geese;Animals: Snakes,,,,,,
2126,Wreckage,2003.0,5.5,10310.0,2.0,4.0,45.0,45.0,10.0,1.72,Card Game;Fighting;Science Fiction,Action / Movement Programming,,,,,,,
2127,GobCon,2002.0,7.2,,2.0,6.0,30.0,30.0,8.0,1.0,Card Game,,,,,,,,
2128,Urland expansion,2003.0,6.7,,3.0,5.0,90.0,90.0,12.0,2.38,Expansion for Base-game;Prehistoric,Action Point Allowance System;Auction/Bidding;Variable Player Powers,Evolution,,,,,,
2129,Monopoly: Star Trek The Next Generation,1998.0,4.3,12444.0,2.0,8.0,120.0,120.0,8.0,2.0,Economic;Movies / TV / Radio theme;Negotiation;Science Fiction,Auction/Bidding;Roll / Spin and Move;Set Collection;Trading,Monopoly;Star Trek,,,,,,
2130,Monopoly: Star Wars Episode II,2002.0,4.5,,2.0,8.0,120.0,120.0,8.0,2.0,Economic;Movies / TV / Radio theme;Negotiation;Science Fiction,Auction/Bidding;Dice Rolling;Roll / Spin and Move;Set Collection;Trading,Monopoly;Star Wars,,,,,,
2131,Scotland the Brave,1998.0,5.6,10084.0,2.0,2.0,180.0,180.0,12.0,2.5,Medieval;Wargame,Hex-and-Counter,Country: Scotland,,,,,,
2132,Auf & Ab,2003.0,5.3,,3.0,4.0,20.0,20.0,8.0,1.33,Card Game;Number,Hand Management,,,,,,,
2133,Diceland: Extra Space,2003.0,6.8,5547.0,2.0,2.0,20.0,20.0,10.0,1.5,Action / Dexterity;Collectible Components;Dice;Expansion for Base-game;Fighting,Dice Rolling;Variable Player Powers,Diceland Series,,,,,,
2134,Tobruk Expansion Pack 3: Devil's Garden,2003.0,8.1,,2.0,2.0,180.0,180.0,12.0,3.0,Expansion for Base-game;Wargame;World War II,Hex-and-Counter;Simulation;Simultaneous Action Selection,Advanced Tobruk System,,,,,,
2135,Tobruk Expansion Pack 4: Blunted Sword,2003.0,7.8,,2.0,2.0,180.0,180.0,16.0,3.0,Expansion for Base-game;Wargame;World War II,Hex-and-Counter;Simulation;Simultaneous Action Selection,Advanced Tobruk System,,,,,,
2136,The Last Hurrah: ASL Module 6,1988.0,7.6,,2.0,2.0,120.0,120.0,12.0,4.39,Expansion for Base-game;Wargame;World War II,Hex-and-Counter,Advanced Squad Leader,,,,,,
2137,West of Alamein: ASL Module 5,1988.0,8.0,,2.0,2.0,120.0,120.0,12.0,4.47,Expansion for Base-game;Wargame;World War II,Hex-and-Counter,Advanced Squad Leader,,,,,,
2138,Kseri,,7.0,,2.0,4.0,20.0,20.0,,2.0,Card Game;Deduction;Memory,Memory;Set Collection,Card Games: Card Fishing;Traditional Card Games,,,,,,
2139,Code of Bushido: ASL Module 8,1991.0,8.3,,2.0,2.0,120.0,120.0,12.0,4.53,Expansion for Base-game;Wargame;World War II,Hex-and-Counter,Advanced Squad Leader;Asian Theme,,,,,,
2140,Hollow Legions: ASL Module 7,1989.0,7.8,,2.0,2.0,120.0,120.0,12.0,4.29,Expansion for Base-game;Wargame;World War II,Hex-and-Counter,Advanced Squad Leader,,,,,,
2141,Gung Ho!: ASL Module 9,1992.0,8.1,,2.0,2.0,120.0,120.0,12.0,4.56,Expansion for Base-game;Wargame;World War II,Hex-and-Counter,Advanced Squad Leader,,,,,,
2142,Weapons & Warriors: Castle Combat Set,1993.0,5.8,7176.0,2.0,2.0,30.0,30.0,7.0,1.27,Action / Dexterity;Children's Game;Medieval;Miniatures,Action Point Allowance System;Area Movement;Dice Rolling;Roll / Spin and Move,Marble Games;Weapons & Warriors,,,,,,
2143,Croix de Guerre: ASL Module 10,1992.0,8.2,,2.0,2.0,120.0,120.0,12.0,4.21,Expansion for Base-game;Wargame;World War II,Hex-and-Counter,Advanced Squad Leader,,,,,,
2144,Red Barricades: ASL Historical Module 1,1990.0,8.7,,2.0,2.0,120.0,120.0,12.0,4.41,Expansion for Base-game;Wargame;World War II,Hex-and-Counter,Advanced Squad Leader,,,,,,
