id,name,year,rating,rank,num_players,gameplay_time,age,complexity_weight,category,mechanisms,type
bg2378,Galactic Takeover,2000,3.5,,2,20  Min,8+,1.00/5,Abstract Strategy;Space Exploration,,Dots and Boxes
bg2379,Geweihte Steine,1993,6.5,,3-6,120  Min,12+,3.00/5,Ancient;City Building;Economic,Dice Rolling;Simultaneous Action Selection,
bg2380,Way Out West,2000,6.2,2930,3-5,90-120  Min,12+,2.61/5,American West,Tile Placement;Worker Placement,
bg2381,Twin,1975,5.3,,2,20  Min,10+,1.00/5,Abstract Strategy,Tile Placement,
bg2382,Eselspiel,,4.9,,2-8,20  Min,5+,1.40/5,Card Game;Children's Game,,Animals: Donkeys
bg2383,June 6,1999,6.6,5379,2,240  Min,12+,3.38/5,Fighting;Wargame;World War II,Chit-Pull System;Hex-and-Counter;Simulation,Gameplayers Series
bg2384,Qwink,1985,4.6,,2,30  Min,8+,0.00/5,Word Game,,
bg2385,Age of Steam Expansion #2: Western US and Germany,2003,7.9,,3-6,120  Min,13+,3.82/5,Economic;Expansion for Base-game;Trains;Transportation,Pick-up and Deliver;Tile Placement,Age of Steam;Country: Germany
bg2386,Word for Word,1987,3.8,,2-4,60  Min,8+,2.00/5,Word Game,,Word for Word
bg2387,Jargon,2003,5.4,,2-6,60  Min,10+,1.00/5,Word Game,Tile Placement,
bg2388,Star Cruiser,1987,6.2,8689,2,120  Min,12+,2.73/5,Science Fiction;Wargame,Dice Rolling;Hex-and-Counter,From RPG books to board games
bg2389,Fortune,1976,6.0,6888,3-8,180  Min,12+,2.21/5,Economic;Environmental;Industry / Manufacturing,Roll / Spin and Move;Set Collection;Stock Holding;Trading,
bg2390,Das Alte Reich,2003,5.9,,2-5,30  Min,10+,0.00/5,Card Game;Educational;Medieval;Napoleonic;Renaissance,Trick-taking,
bg2391,So ein Mist!,1992,4.3,,2-6,20  Min,7+,1.00/5,Dice;Memory,Dice Rolling;Memory,
bg2392,Gem Quest,2003,4.7,11603,2-8,180  Min,10+,3.00/5,Adventure;Fantasy,Betting/Wagering;Hand Management;Roll / Spin and Move;Trading,
bg2393,Himalaya Expedition,1997,2.8,,2-6,45  Min,12+,2.00/5,Dice;Racing;Travel,Dice Rolling,Sports: Mountain climbing
bg2394,Red Christmas,1992,4.6,,2,300  Min,,0.00/5,Modern Warfare;Wargame,Area Movement;Point to Point Movement,
bg2395,Swingo,1997,6.0,,1-6,20  Min,,0.00/5,Dice,Dice Rolling,
bg2396,Tritime,1997,1.0,,2-6,45  Min,,0.00/5,Dice;Sports,Card Drafting;Dice Rolling,
bg2397,Grabung im Tal der Könige,1999,4.0,,3-6,45  Min,10+,0.00/5,Adventure;Ancient;Bluffing;Dice,Auction/Bidding;Dice Rolling,
bg2398,Paparazzi,1998,3.1,,2-6,60  Min,8+,0.00/5,Bluffing;Deduction,,
bg2399,Tacheles,1999,0.0,,4,45  Min,,0.00/5,Party Game,Card Drafting,
bg2400,Der Garten des Sonnenkönigs,1996,5.9,8425,2-5,60  Min,10+,2.50/5,Economic;Renaissance,Auction/Bidding,
bg2401,Cranium Conga,2003,5.2,12025,3-6,30  Min,8+,1.27/5,Party Game,Acting,Play Dough/Clay Games
bg2402,Das grosse Dudenspiel,1997,3.9,,2-6,90  Min,8+,0.00/5,Educational;Word Game,Card Drafting;Roll / Spin and Move,Dictionary Games
bg2403,Piratenschatz,1997,0.0,,2,10  Min,,0.00/5,Children's Game;Deduction;Nautical;Pirates,Tile Placement,
bg2404,Horus Heresy,2003,5.9,8808,2,30  Min,12+,2.00/5,Card Game;Collectible Components;Science Fiction;Space Exploration;Wargame,Card Drafting;Variable Player Powers,CCGs (Collectible Card Games);Warhammer 40000 Card Games
bg2405,In 80 Tagen um die Welt,1967,5.3,,2-4,30  Min,6+,0.00/5,Adventure;Children's Game;Novel-based,Hand Management,Jules Verne's novels
bg2406,Iqube,1999,4.0,,3-4,10  Min,,0.00/5,Abstract Strategy;Deduction;Dice;Educational,Dice Rolling,
bg2407,Honour Alone: Hong Kong 1941,1991,7.7,,1-2,180  Min,12+,3.00/5,Wargame;World War II,Hex-and-Counter;Simulation,Country: Hong Kong
bg2408,Merlin,1993,6.9,,1-4,360  Min,14+,3.25/5,Medieval;Mythology,Area Control / Area Influence;Voting;Worker Placement,King Arthur Series;The Legend of King Arthur and the Knights of the…
bg2409,Xhenor,1994,5.0,,5-6,360  Min,10+,0.00/5,Economic;Fantasy;Wargame,,
bg2410,Mork & Mindy,1979,4.3,,2-4,45  Min,7+,2.00/5,Bluffing;Dice;Movies / TV / Radio theme,Dice Rolling;Roll / Spin and Move,
bg2411,Atlanta: Civil War Campaign Game,1973,7.7,,2,120  Min,12+,4.00/5,American Civil War;Wargame,Dice Rolling;Hex-and-Counter;Secret Unit Deployment;Simultaneous Action Selection,
bg2412,Tribound,1998,6.1,,2,20  Min,,3.00/5,Abstract Strategy,Area Movement,
bg2413,Dungeons & Dragons: The Fantasy Adventure Board Game - Eternal Winter Expansion Pack,2003,6.8,,2-6,240  Min,10+,1.93/5,Adventure;Expansion for Base-game;Exploration;Fantasy;Fighting;Miniatures,Co-operative Play;Dice Rolling;Modular Board;Role Playing,Dungeons & Dragons;From RPG books to board games
bg2414,Caçadores De Notícias,,4.8,,3-6,90  Min,12+,0.00/5,Dice;Travel,Card Drafting;Roll / Spin and Move,
bg2415,Corrida Presidencial,1998,6.5,,2-6,120  Min,14+,1.67/5,Political;Travel,Area Movement;Card Drafting,Country: Brazil
bg2416,Veredicto,,1.9,,2-4,45  Min,12+,1.00/5,Murder/Mystery,Betting/Wagering;Card Drafting;Partnerships;Storytelling,
bg2417,Battle for Stalingrad,1980,7.2,3488,2,360  Min,12+,3.43/5,Wargame;World War II,Chit-Pull System;Dice Rolling;Hex-and-Counter;Simulation,Country: Russia
bg2418,August Fury,1990,6.6,7884,2,360  Min,14+,3.43/5,American Civil War;Wargame,Hex-and-Counter;Simulation,Civil War Brigade (CWB) Series
bg2419,Punch Cards: Wasted Lands,2003,4.3,,2,10  Min,10+,1.00/5,Card Game,Card Drafting;Simultaneous Action Selection;Trading,
bg2420,Mission: Survival,1995,4.8,,2-6,45  Min,8+,1.00/5,Educational;Environmental;Trivia,Pick-up and Deliver;Roll / Spin and Move,
bg2421,IGOR: The Mad Scientist's Lament,2004,5.6,9572,2-6,60  Min,12+,1.45/5,Card Game;Humor;Industry / Manufacturing;Science Fiction,Dice Rolling;Tile Placement;Variable Player Powers,
bg2422,Pac Man Magnetic Maze,1982,3.2,,1,10  Min,5+,1.00/5,Action / Dexterity;Children's Game;Video Game Theme,,Pac-Man;Solitaire Games
bg2423,How the Grinch Stole Christmas! Game,1997,4.8,,2-4,10  Min,4+,1.00/5,Children's Game;Memory;Movies / TV / Radio theme,Memory;Roll / Spin and Move,Dr. Seuss;Holidays: Christmas
bg2424,Wyatt Earp,1985,6.5,,2-6,30  Min,8+,0.00/5,American West;Card Game;Dice,Dice Rolling,
bg2425,Kennen Sie Traxenbichl ?,1994,8.1,,2-8,60  Min,8+,2.00/5,Deduction;Educational;Travel,,
bg2426,Die Schwindler GmbH,1999,0.0,,2-4,30  Min,9+,0.00/5,Bluffing;Card Game,Auction/Bidding;Card Drafting;Hand Management,
bg2427,Rimini,1988,6.1,,2-4,20  Min,8+,1.50/5,Humor,Tile Placement,
bg2428,Blue vs. Gray,1999,6.8,2285,2-4,120  Min,12+,2.83/5,American Civil War;Card Game;Dice;Wargame,Dice Rolling;Hand Management,
bg2429,Real Action Stockcar Championship,1998,6.7,6283,1-20,90  Min,10+,2.75/5,Dice;Racing,,Sports: Auto Racing
bg2430,Quisine,1998,8.0,,2-6,20  Min,5+,3.00/5,Card Game,Card Drafting;Hand Management,
bg2431,Het Zuiderzeespel,1990,6.0,,2-5,120  Min,,1.00/5,Nautical;Transportation;Travel,Card Drafting;Hand Management,
bg2432,Das Quiz des 20. Jahrhunderts,1998,6.9,,2-6,90  Min,12+,1.50/5,Dice;Educational;Trivia,Dice Rolling,
bg2433,Zama: Triumph of the Roman Way of War,1992,5.5,10137,2,90  Min,10+,2.00/5,Ancient;Wargame,Dice Rolling;Hex-and-Counter,Ancient Rome;Battles of the Ancient World Series;Magazine: Strategy & Tactics
bg2434,Cropredy Bridge: A Fleeting Victory,1992,5.4,10684,2,180  Min,12+,3.22/5,Civil War;Pike and Shot;Wargame,Dice Rolling;Hex-and-Counter,Age of Kings;English Civil War;Magazine: Strategy & Tactics
