,_id,ltable_id,rtable_id,ltable_name,ltable_year,rtable_name,rtable_year
2484,114980,5789,641,APBA Major League Baseball: All Star Edition,2000.0,Monopoly - Lionel Post-War Era (Collector's Edition),2000.0
1503,59668,4066,6212,TrainSport: Austria,1996.0,Trainsport - Austria,1996.0
1087,44620,3401,4933,Hubbub: The Game of Sound Mind &  Body,2003.0,Ark Of The Covenant,2003.0
3736,172863,2366,7864,The Battle of Bunker Hill,1990.0,Gang of Four (2nd Edition),1990.0
2126,85297,2423,6022,How the Grinch Stole Christmas! Game,1997.0,Sold! - The Antique Dealer Game (2nd Edition),1997.0
1722,69116,1884,8235,Spires of the Kremlin,1994.0,Eagles of the Empire: Borodino,1994.0
1909,74907,3355,4341,The Robin Hood Game,1991.0,Car Wars: The Card Game,1991.0
2924,135873,4556,6831,Starfarers of Catan: 5-6 Player Expansion,2001.0,Atlantis - Pathways of the Deep,2001.0
4686,215575,2264,7368,Red Star / White Star,1972.0,Breakout & Pursuit (Flat White Box),1972.0
1332,51621,6672,6235,Duel of Ages Set 5: Mercenary Camp,2003.0,America Triumphant - Battle of the Bulge,2003.0
1031,42470,2816,1690,TV Trivia Game,2003.0,Mission Command - Air Game,2003.0
3550,166833,3676,2007,Albion: Land of Faerie,1981.0,Games of Art,1981.0
2211,92466,2200,10181,Good Dog Carl: the Game,1999.0,Lost Cities: The Card Game,1999.0
1841,73367,6908,8907,Star Poker,1994.0,Yahtzee Deluxe Poker,1994.0
1489,58351,3246,10190,Portsmouth Harbour Trail Game,1996.0,James Ernest's Totally Renamed Spy Game,1996.0
2397,108007,2237,9354,Empires of the Ancient World,2000.0,Empires of the Ancient World,2000.0
1729,69184,2001,8235,Malta Clash of Eagles Expansion,1994.0,Eagles of the Empire: Borodino,1994.0
3777,174844,6622,9010,Raid on the Bunker,1990.0,"Battle of Bunker Hill, The (1st Printing)",1990.0
891,35118,2048,2080,Master and Commander: The Far Side of the World,2003.0,Granada - The Fall of Moslem Spain,2003.0
1,105,207,4064,Sniper! Special Forces: Sniper! Companion Game #2,1988.0,Antiques Roadshow - The Game,1988.0
1598,63041,497,1675,Clash of Eagles,1993.0,"Campaigns of Frederick the Great, The",1993.0
4230,194021,6546,779,Warsaw Rising: Revolt of the Polish Underground 1944,1986.0,King Arthur and the Knights of the Round Table,1986.0
1682,66866,6560,1675,Cortes: Conquest of the Aztec Empire,1993.0,"Campaigns of Frederick the Great, The",1993.0
119,5410,3601,2690,Princess of Power Game,1985.0,Battle of the Bulge (1st Printing),1985.0
3640,169379,6871,1883,Seekrieg (Fourth Edition),1981.0,Battlewagon (2nd Edition),1981.0
4127,188740,6257,6631,P.E.G.S. (The Parker Electronic Game System),1978.0,"Hobbit Game, The - The Adventures of Bilbo in Middle-Earth from ""The Lord of the Rings""",1978.0
4336,200482,1777,4940,Solomons Campaign (first edition),1973.0,Bowl Bound (1978 Edition),1973.0
548,20944,1158,1709,History's Mysteries Card Game,2003.0,"90's Game, The",2003.0
420,13763,505,1426,The Mother Lode of Sticky Gulch,2003.0,Dungeoneer: Vault of the Fiends,2003.0
1837,73110,6641,4050,Battle Dome,1994.0,Battle of the Alma,1994.0
850,34408,2020,4933,Age of Napoleon,2003.0,Ark Of The Covenant,2003.0
5131,235906,4751,1505,A Game of Thrones Collectible Card Game,2002.0,Panzer Grenadier: Battle of the Bulge,2002.0
334,11112,219,2532,The Ark of the Covenant,2003.0,Duel of Ages Set 1: Worldspanner,2003.0
415,13398,435,1690,Mission Command Sea,2003.0,Mission Command - Air Game,2003.0
5265,241650,5186,328,War Of The Ages,2002.0,Eagles of the Empire - Napoleon in the Desert,2002.0
3653,169865,1044,163,Battlegame Book 2: Knights at War,1975.0,Oil War,1975.0
3164,148764,1878,6359,Clash of Titans: The Tank Battle for Kursk 1943,1998.0,Caesar: Conquest of Gaul Board Game,1998.0
974,38436,2385,2532,Age of Steam Expansion #2: Western US and Germany,2003.0,Duel of Ages Set 1: Worldspanner,2003.0
5314,243397,5564,6779,Harry Potter Halls of Hogwarts,2002.0,Age of Steam,2002.0
5294,242808,5434,3542,Rome at War II: Fading Legions,2002.0,This Accursed Civil War,2002.0
590,23161,1364,2197,Dragon Ball Card Game,2003.0,"Suicide Bomber Card Game, The",2003.0
5344,245515,6130,4642,Second World War at Sea: Bomb Alley,2002.0,World War II: Barbarossa to Berlin,2002.0
4446,206325,2657,1075,Masters of the Universe: War and Conquer Giant Card Games,1983.0,War in the South Atlantic,1983.0
4376,202423,2319,1524,Die Bremer Stadtmusikanten,1987.0,Ab die Post!,1987.0
3025,141806,761,191,X-C Cross Country,1969.0,X-C Cross Country,1969.0
1587,62374,6593,7987,Honor of the Samurai,1996.0,Dicemaster: Wilds of Doom,1996.0
821,33557,1972,2197,Crash! the Bankrupt game,2003.0,"Suicide Bomber Card Game, The",2003.0
5057,233191,4399,9165,Cannibal Pygmies in the Jungle of Doom,2002.0,Harry Potter and the Chamber of Secrets - Trivia Game,2002.0
3723,172654,1784,2286,The Redcoats are Coming,1990.0,"Redcoats are Coming!, The",1990.0
3064,144625,4684,9427,Borderline: USA Edition,1989.0,Edelweiss (1st Edition),1989.0
1359,52215,6730,902,The Sun of Austerlitz,2003.0,War of the States: Chickamauga and Chattanooga,2003.0
3616,168325,5676,4508,The Fury of the Norsemen,1981.0,Attack of the Mutants,1981.0
3706,172031,6476,4986,Strike Force One,1975.0,Strike Force One,1975.0
4378,202628,2956,158,The Brain Game from Australia,1987.0,VCR College Bowl Game,1987.0
129,5630,4092,2690,History of the Second World War,1985.0,Battle of the Bulge (1st Printing),1985.0
3624,168389,5682,7509,The Lords of Underearth,1981.0,"Fistful of Turkeys, A",1981.0
3742,173457,3885,4823,The Game of Maze,1990.0,Dirty Minds - The Game of Naughty Clues,1990.0
4054,185703,3366,8767,Employee of the Month,2004.0,The Downfall of Pompeii,2004.0
1478,57734,2790,6556,The Forgotten War: Korea,1996.0,"Forgotten War, The - Korea",1996.0
1296,51366,6669,8067,Duel of Ages Set 6: Field of Honor,2003.0,The Bridges of Shangri-La,2003.0
1534,60670,4997,10298,The Voyage of the Mayflower,1996.0,Battles from the Age of Reason #2 - Zorndorf - Frederick vs. the Warriors of Holy Russia,1996.0
3073,146035,6490,4189,Monster Maker 5: Sofia's Holy Knights,1989.0,Extension 5 - The Cross,1989.0
4729,216870,5794,5618,Face-Off Pro Hockey Game,1974.0,Crude: The Oil Game,1974.0
3583,167430,4741,4754,Heroes of Olympus,1981.0,"Dukes of Hazzard Game, The",1981.0
1005,39930,2508,5488,Oodles of Doodles,2003.0,Legends of Football,2003.0
1892,74358,2172,9279,Monopoly Junior: Travel Edition,1991.0,Monopoly - European Edition,1991.0
2935,136272,4777,4935,Worlds of Heroes & Tyrants Card Expansion #1: Frozen in Time,2001.0,Red Badge of Courage,2001.0
3090,146889,337,8466,The Ashes of Empire,1998.0,"Last Days of the Grande Armee, The",1998.0
2023,78913,2443,6500,The Russo-Turkish War 1877-78,1992.0,Port Arthur - The Russo-Japanese War,1992.0
865,34693,2028,6235,Lord of the Rings: Battle of Destiny,2003.0,America Triumphant - Battle of the Bulge,2003.0
2746,124634,186,2011,Dungeons & Dragons Chainmail,2001.0,Clue: Dungeons & Dragons,2001.0
5150,236173,4786,9165,Risk: The Lord of the Rings,2002.0,Harry Potter and the Chamber of Secrets - Trivia Game,2002.0
496,18514,922,6788,Avis de Tempête,2003.0,Formula De,2003.0
1170,45510,5187,1961,Legends Of Football,2003.0,Battle Cry of Freedom,2003.0
1774,71168,4187,2028,Talisman (third edition): Dungeon of Doom,1994.0,Avalanche - The Invasion of Italy,1994.0
5471,249504,3629,296,Scrabble,1948.0,Scrabble - Travel Edition,1948.0
2289,100106,5411,872,Formula Dé Circuits 23 - 26: USA Track Pack #1,1999.0,Deadwood Studios USA,1999.0
3382,159172,4013,6830,Invasion: America,1976.0,Invasion: America,1976.0
3671,170914,3050,6866,Z Game,1975.0,"Beat Inflation Strategy Game, The",1975.0
4283,198191,1448,6453,The Battle of Prague,1980.0,Valley of the Four Winds,1980.0
198,6824,6292,9011,Star Trek: The Enterprise^4 Encounter,1985.0,Star Trek: The Enterprise^4 Encounter,1985.0
3268,155232,5260,6359,Age of Arguments,1998.0,Caesar: Conquest of Gaul Board Game,1998.0
2116,84178,1417,4012,Co-Op Parlor Games,1997.0,Co-op Marble Games,1997.0
519,19113,958,2197,WarCraft: The Board Game,2003.0,"Suicide Bomber Card Game, The",2003.0
4119,188272,4651,6631,Conquest of North America,1978.0,"Hobbit Game, The - The Adventures of Bilbo in Middle-Earth from ""The Lord of the Rings""",1978.0
3819,176457,1680,5929,Illuminati: Crime Lords,2004.0,Illuminati: Crime Lords,2004.0
5274,241693,5186,6779,War Of The Ages,2002.0,Age of Steam,2002.0
4900,224685,3112,798,G.I. Joe Mission: Cobra H.Q. Game,2002.0,The Scrambled States of America Game,2002.0
3194,149598,2236,4546,Victory:  The Blocks of War,1998.0,Joan of Arc,1998.0
2989,139435,5821,6198,Split (Revised Edition),2001.0,Borderline: Europe/Middle East Edition,2001.0
4971,227871,3754,9742,The Game of Life: A Jedi's Path,2002.0,"G.I. Joe - Mission, Cobra H.Q. Game",2002.0
3501,164518,6607,1396,Star Wars: Death Star,1982.0,Ant Wars,1982.0
4806,219798,1002,2524,The Lord of the Rings: The Fellowship of the Ring Board Game,2002.0,Clash of the Gladiators,2002.0
4199,192739,5132,8129,Knights of Justice: The Siege of Malta 1565,1986.0,The Price of Freedom,1986.0
4147,189360,550,8129,Dragons of Glory,1986.0,The Price of Freedom,1986.0
1745,69731,2610,9608,EXO-Squad Game,1994.0,Thunderbirds: The Game of International Rescue,1994.0
2810,127802,1811,4935,Battle of the Bands,2001.0,Red Badge of Courage,2001.0
5402,248274,6973,3526,Fields of Chivalry,2002.0,Fist of Dragonstones,2002.0
4242,194550,236,9408,Ballistic Missile,1977.0,Ballistic Missile,1977.0
2122,84648,1935,9972,Indiana Jones and the Wrath of Hecate,1997.0,"Wonderful World of Disney Trivia, The",1997.0
178,6513,5779,3647,Streets of Fire: ASL Deluxe Module 1,1985.0,World War II - European Theater of Operations,1985.0
3450,162058,3057,2542,Masters of the Universe Pop-Up Game,1982.0,G.I. Anvil of Victory (1st Edition),1982.0
1751,69762,2654,8235,The Game of Pilgrim's Progress,1994.0,Eagles of the Empire: Borodino,1994.0
4847,222120,2120,9742,The 70's Game,2002.0,"G.I. Joe - Mission, Cobra H.Q. Game",2002.0
539,20871,1108,3312,Children of the World,2003.0,Pack of Flies,2003.0
3143,148462,1657,3939,Aquarius,1998.0,Aquarius,1998.0
5008,231305,4103,3526,The Settlers of Canaan,2002.0,Fist of Dragonstones,2002.0
5318,243997,5766,798,The Powerpuff Girls: Flying Action Game,2002.0,The Scrambled States of America Game,2002.0
4050,185648,3366,4254,Employee of the Month,2004.0,Verdun - The Game of Attrition,2004.0
