_id,ltable_id,rtable_id,ltable_name,ltable_year,rtable_name,rtable_year
17051,741,8262,Tobruk Expansion Pack 1: Wavell's 30000,2003.0,Friendly Fire Pack #1,2003.0
17099,742,3312,Tobruk Expansion Pack 2: Benghazi Handicap,2003.0,Pack of Flies,2003.0
17143,742,8262,Tobruk Expansion Pack 2: Benghazi Handicap,2003.0,Friendly Fire Pack #1,2003.0
17191,743,3312,Tobruk Expansion Pack 5A: Kasserine & Beyond,2003.0,Pack of Flies,2003.0
17235,743,8262,Tobruk Expansion Pack 5A: Kasserine & Beyond,2003.0,Friendly Fire Pack #1,2003.0
17523,782,229,One False Step for Mankind,2003.0,One False Step for Mankind,2003.0
18049,810,6652,Trivial Pursuit: The Lord of the Rings Movie Trilogy Collector's Edition,2003.0,Trivial Pursuit DVD - Pop Culture,2003.0
18514,922,6788,Avis de Tempête,2003.0,Formula De,2003.0
18588,924,6024,Ana contre Corax,2003.0,Ana Contre Corax,2003.0
19555,969,902,Cold War,2003.0,War of the States: Chickamauga and Chattanooga,2003.0
19637,969,9944,Cold War,2003.0,Korea: The Forgotten War,2003.0
19771,1023,3529,Fish Eat Fish,2003.0,"Hey, That's My Fish!",2003.0
19796,1023,6629,Fish Eat Fish,2003.0,Fish Eat Fish,2003.0
20566,1095,811,The Suicide Bomber Card Game,2003.0,Catan  Card Game - Barbarians & Traders Upgrade Kit,2003.0
20585,1095,2197,The Suicide Bomber Card Game,2003.0,"Suicide Bomber Card Game, The",2003.0
20603,1095,4121,The Suicide Bomber Card Game,2003.0,Lewis & Clark Exploration Card Game,2003.0
20751,1105,902,A World at War,2003.0,War of the States: Chickamauga and Chattanooga,2003.0
20833,1105,9944,A World at War,2003.0,Korea: The Forgotten War,2003.0
20934,1158,811,History's Mysteries Card Game,2003.0,Catan  Card Game - Barbarians & Traders Upgrade Kit,2003.0
20953,1158,2197,History's Mysteries Card Game,2003.0,"Suicide Bomber Card Game, The",2003.0
20971,1158,4121,History's Mysteries Card Game,2003.0,Lewis & Clark Exploration Card Game,2003.0
21057,1199,3376,Carcassonne: King & Scout,2003.0,Carcassonne: Traders & Builders,2003.0
21106,1199,9404,Carcassonne: King & Scout,2003.0,Carcassonne: The Castle,2003.0
21149,1210,3376,Carcassonne: The Castle,2003.0,Carcassonne: Traders & Builders,2003.0
