_id,ltable_id,rtable_id,ltable_name,ltable_year,rtable_name,rtable_year
4370,1728,2690,Trial of Strength,1985.0,Battle of the Bulge (1st Printing),1985.0
4372,1728,3027,Trial of Strength,1985.0,"Eye of the Idol, The",1985.0
4373,1728,3647,Trial of Strength,1985.0,World War II - European Theater of Operations,1985.0
4381,1728,8236,Trial of Strength,1985.0,Ace of Aces - Balloon Buster,1985.0
4625,1970,9313,Berk's Trap Door game,1985.0,Star Trek - The Adventure Game,1985.0
4630,1982,2690,Rise of the House of Sa'ud,1985.0,Battle of the Bulge (1st Printing),1985.0
4632,1982,3027,Rise of the House of Sa'ud,1985.0,"Eye of the Idol, The",1985.0
4633,1982,3647,Rise of the House of Sa'ud,1985.0,World War II - European Theater of Operations,1985.0
4641,1982,8236,Rise of the House of Sa'ud,1985.0,Ace of Aces - Balloon Buster,1985.0
4705,2024,9313,For Sale: A Real Estate Game,1985.0,Star Trek - The Adventure Game,1985.0
4893,2637,3647,Superpowers at War,1985.0,World War II - European Theater of Operations,1985.0
4925,2832,9313,Intrepid Journey: Game 1 - Survival in the 20th Century,1985.0,Star Trek - The Adventure Game,1985.0
4933,2833,3647,Forte Trivia Cards Volume II,1985.0,World War II - European Theater of Operations,1985.0
4956,2878,3832,East Wind Rain,1985.0,East Wind Rain,1985.0
5085,3065,9313,GoBots Game,1985.0,Star Trek - The Adventure Game,1985.0
5158,3108,5803,All My Children,1985.0,All My Children,1985.0
5185,3168,9313,The Jetsons Game,1985.0,Star Trek - The Adventure Game,1985.0
5190,3258,2690,Main Battle Area,1985.0,Battle of the Bulge (1st Printing),1985.0
5203,3258,8937,Main Battle Area,1985.0,Main Battle Area,1985.0
5285,3426,9313,Outdoor Life Trivia Game,1985.0,Star Trek - The Adventure Game,1985.0
5305,3440,9313,Kool-Aid Kid's Trivia Game,1985.0,Star Trek - The Adventure Game,1985.0
5390,3578,2690,Lost Valley of the Dinosaurs,1985.0,Battle of the Bulge (1st Printing),1985.0
5392,3578,3027,Lost Valley of the Dinosaurs,1985.0,"Eye of the Idol, The",1985.0
5393,3578,3647,Lost Valley of the Dinosaurs,1985.0,World War II - European Theater of Operations,1985.0
5401,3578,8236,Lost Valley of the Dinosaurs,1985.0,Ace of Aces - Balloon Buster,1985.0
5410,3601,2690,Princess of Power Game,1985.0,Battle of the Bulge (1st Printing),1985.0
5412,3601,3027,Princess of Power Game,1985.0,"Eye of the Idol, The",1985.0
5413,3601,3647,Princess of Power Game,1985.0,World War II - European Theater of Operations,1985.0
5421,3601,8236,Princess of Power Game,1985.0,Ace of Aces - Balloon Buster,1985.0
5425,3601,9313,Princess of Power Game,1985.0,Star Trek - The Adventure Game,1985.0
5455,3722,3813,Russian Front,1985.0,Arctic Front (1st Printing),1985.0
5477,3742,4896,Air Cav,1985.0,Air Cav,1985.0
5494,3774,3720,Advance to Boardwalk,1985.0,Advance to Boardwalk,1985.0
5585,3946,9313,Alfreds Other Game,1985.0,Star Trek - The Adventure Game,1985.0
5613,4008,3647,Stage II,1985.0,World War II - European Theater of Operations,1985.0
5630,4092,2690,History of the Second World War,1985.0,Battle of the Bulge (1st Printing),1985.0
5631,4092,2865,History of the Second World War,1985.0,World in Flames,1985.0
5632,4092,3027,History of the Second World War,1985.0,"Eye of the Idol, The",1985.0
5633,4092,3647,History of the Second World War,1985.0,World War II - European Theater of Operations,1985.0
5641,4092,8236,History of the Second World War,1985.0,Ace of Aces - Balloon Buster,1985.0
5770,4799,2690,Cromwell's Victory: The Battle of Marston Moor,1985.0,Battle of the Bulge (1st Printing),1985.0
5772,4799,3027,Cromwell's Victory: The Battle of Marston Moor,1985.0,"Eye of the Idol, The",1985.0
5773,4799,3647,Cromwell's Victory: The Battle of Marston Moor,1985.0,World War II - European Theater of Operations,1985.0
5781,4799,8236,Cromwell's Victory: The Battle of Marston Moor,1985.0,Ace of Aces - Balloon Buster,1985.0
5783,4799,8937,Cromwell's Victory: The Battle of Marston Moor,1985.0,Main Battle Area,1985.0
5804,4877,9011,Star Trek III,1985.0,Star Trek: The Enterprise^4 Encounter,1985.0
5805,4877,9313,Star Trek III,1985.0,Star Trek - The Adventure Game,1985.0
5809,4893,2528,Code 777,1985.0,Code 777,1985.0
5830,4914,2690,The Road To Vicksburg: The Battle of Champion Hill,1985.0,Battle of the Bulge (1st Printing),1985.0
5832,4914,3027,The Road To Vicksburg: The Battle of Champion Hill,1985.0,"Eye of the Idol, The",1985.0
5833,4914,3647,The Road To Vicksburg: The Battle of Champion Hill,1985.0,World War II - European Theater of Operations,1985.0
5841,4914,8236,The Road To Vicksburg: The Battle of Champion Hill,1985.0,Ace of Aces - Balloon Buster,1985.0
5843,4914,8937,The Road To Vicksburg: The Battle of Champion Hill,1985.0,Main Battle Area,1985.0
5945,5094,9313,1 on 1 Adventure Gamebooks: Castle Arcania,1985.0,Star Trek - The Adventure Game,1985.0
5990,5162,2690,An Evening of Murder: Beyond the Grave,1985.0,Battle of the Bulge (1st Printing),1985.0
5992,5162,3027,An Evening of Murder: Beyond the Grave,1985.0,"Eye of the Idol, The",1985.0
